event,avg_mean_ret_h1,avg_mean_ret_h2,avg_mean_ret_h3,avg_hit_rate_h1,avg_hit_rate_h2,avg_hit_rate_h3,avg_n,target_count,score_h1
long_posts,0.003992760711963658,0.003446483219512675,0.004662830948411705,0.47520661157024796,0.4586776859504132,0.5206611570247934,22.0,11,0.40583762492590525
sig_potus,0.002412097757768897,0.005996800788135315,0.007471643849593426,0.4772727272727273,0.5234848484848484,0.537878787878788,120.0,11,0.26644040850558437
has_market_brag,0.001959480312286486,0.00204229832483634,0.0020549121356104936,0.48207792207792205,0.4935064935064935,0.478961038961039,175.0,11,0.22973079325695217
posts_very_high,0.0018270892125153008,0.002878701137293509,0.0038182956601760733,0.4765151515151515,0.49886363636363634,0.509469696969697,240.0,11,0.21407204210158812
attack_heavy,0.001604407740848495,0.0028919117264874835,0.004175837347311672,0.4714536671058411,0.5,0.5173473869126043,414.0,11,0.19217722639299756
has_attack,0.0014103021722509316,0.0024927116004019533,0.0034456203758444354,0.46080904741191825,0.4921270117442366,0.5070900391474554,1045.0,11,0.1713665510832601
volume_drop,0.001559608985607313,0.0032186259394576104,0.004139952262977315,0.45313601127554615,0.4860230209067419,0.5081042988019733,387.0,11,0.1687069632325102
has_iran,0.0015862331301901822,0.0018769457537488245,0.0013890692275641445,0.4580690627202255,0.4869626497533474,0.49823819591261453,129.0,11,0.16536772024379956
silence_day,0.0014979312321014044,0.002891968512396307,0.004057395873639058,0.43563232883621233,0.4689194300844786,0.482536880595133,721.0,11,0.15124570343528104
positive_heavy,0.0011289384195245747,0.0021412621103205046,0.0031729699050495595,0.46049472915144557,0.48763177121386075,0.5038096232126082,871.0,11,0.14109646534299283
deal_only,0.0012341584499160035,0.00262868875889687,0.0032318741313063296,0.4535573122529644,0.48863636363636365,0.49283596837944665,368.0,11,0.13608112368497005
deal_over_tariff,0.0011994083172235433,0.002477589350934471,0.003078145467960235,0.4543170397441754,0.48789401553220646,0.49291914116034713,398.0,11,0.1341474856354284
has_russia,0.001238771463753169,0.002452673161012385,0.0028102933087559815,0.44402356902356904,0.4776936026936027,0.4943181818181818,432.0,11,0.12860809267891082
has_action,0.001097774694716564,0.0016366289343561428,0.003975197061540677,0.4585709493458571,0.49211673934921163,0.5159342502515935,271.0,11,0.1244064394804735
high_emotion,0.001167250147720718,0.0034138836611512747,0.003498561898263454,0.4561883899233297,0.5027382256297919,0.5147864184008762,166.0,11,0.12409334281956907
lots_of_excl,0.0009703586248037399,0.00202270773099193,0.002873068914435441,0.45250255362614916,0.48701298701298706,0.4983948635634029,1246.0,11,0.12082337556332352
short_posts,0.0010648628183386954,0.002361393367085831,0.0032423955020673984,0.4470543423057389,0.49212798374809547,0.5052056881665821,716.0,11,0.11929138254560467
posts_low,0.0011336339497084213,0.002070994906228225,0.0031722226025329985,0.4357397504456328,0.4657754010695187,0.48226381461675577,1020.0,11,0.11838852359812156
has_deal,0.0010447337203752566,0.0021076280853355844,0.0027598017572147337,0.45225712502600374,0.4815893488662368,0.48845433742458916,437.0,11,0.11755268616729386
has_positive,0.0009543835900888475,0.0018684938562655512,0.0030265868185863094,0.4485450674237047,0.48203109878056644,0.5008065036453965,1409.0,11,0.1164968762663116
has_relief,0.001108562081564136,0.002769712457859048,0.005400718335550633,0.4583732057416268,0.5157894736842106,0.5406698564593302,95.0,11,0.1148728958127188
posts_high,0.0009438877271638681,0.0018673803190525499,0.002429239889042552,0.4521764880071069,0.4865265028131478,0.4902280130293159,614.0,11,0.1107814834015589
pre_deal,0.0009079138133460154,0.002014968147402239,0.0032173244525806667,0.4454110482818617,0.4780339277946934,0.48890822096563724,209.0,11,0.0896735049236379
has_chips,0.0009257559358789809,0.00469650083088597,0.006131752300251856,0.45849802371541504,0.4960474308300395,0.49209486166007904,46.0,11,0.08957509332041372
has_night_post,0.0006948768446122378,0.0016276269362939433,0.00268475327505387,0.4452785923753666,0.4842228739002932,0.49841642228739,775.0,11,0.08130780203842257
has_china,0.0007263872857634399,0.0014890825495415872,0.002228819555151595,0.44667832167832167,0.47115384615384615,0.4914772727272727,416.0,11,0.07964791247265367
tariff_rising,0.0006320760178434657,-0.00034326183912420223,-0.0010138902303351747,0.45909090909090905,0.440909090909091,0.4954545454545455,20.0,11,0.052743735252489855
open_deal,0.0003686257683056819,0.00048079162500472717,0.0007036074837966327,0.4413875598086125,0.4665071770334928,0.4694976076555024,152.0,11,0.02855451585310504
china_chips_combo,0.0006368515156452343,0.0009617387653578114,0.0025758522133895313,0.43636363636363634,0.41818181818181815,0.4,15.0,11,0.027774675150557593
pre_action,0.00018300996348162874,-0.0004435051526640938,0.0012519087022321664,0.45454545454545453,0.48064806480648065,0.4986498649864987,101.0,11,0.01909617902646011
volume_spike,0.00015193094372009905,0.0001301206575558218,0.00072765420905479,0.444253859348199,0.45926243567753,0.46740994854202406,212.0,11,0.01305987537730316
brag_heavy,-0.00013544599010711637,0.0018030866804763957,0.0011402000430347544,0.4914772727272727,0.5028409090909091,0.4715909090909091,32.0,11,0.012897749331225873
pre_relief,0.00026937395908165025,0.0033850317554797063,0.009141257253108732,0.44155844155844154,0.5292207792207791,0.5551948051948051,28.0,11,0.0021687957664713042
deal_heavy,-0.00012269471089535608,0.0018913942040704053,0.00355058929286311,0.43739279588336194,0.47284162378502,0.4974271012006861,159.0,11,-0.0241249370538354
has_tariff,-0.00028038249840048606,-0.0008151848825669731,0.0006769653258935253,0.4413793103448276,0.45203761755485894,0.48213166144200625,145.0,11,-0.03682287327813766
pre_tariff,-0.0003464638412211526,-0.0004962123342420115,-0.00038140041925536274,0.4447552447552448,0.4517482517482518,0.47412587412587415,65.0,11,-0.047994591946606206
tariff_only,-0.0005662340592495822,-0.0009457607630238611,0.0010717932193743656,0.43779904306220097,0.4593301435406698,0.49760765550239233,76.0,11,-0.07538630864422041
china_streak_3d,-0.00042686653829635045,0.0006785524075322943,0.0017232661282484496,0.4085155350978136,0.48331415420023016,0.5040276179516686,79.0,11,-0.09035085238508266
open_tariff,-0.000878096159892839,-0.0026827405018853443,-0.0007321877680978569,0.43540669856459324,0.4465709728867624,0.4657097288676236,57.0,11,-0.11179848731922645
tariff_streak_3d,-0.002229799074133844,-0.0031325223727359224,-0.0035309190381840883,0.42045454545454547,0.42613636363636365,0.4431818181818182,16.0,11,-0.27419322851827677
tariff_heavy,-0.0035941896511793507,-0.008478670010190563,-0.007912742702563104,0.41958041958041964,0.39860139860139865,0.43356643356643354,13.0,11,-0.41344797224136287
